,0,1,2
47,rn3bn1/p3k3/2ppppp1/B7/3P2pP/4PP2/q7/R1Q2K1r w - - 0 26,"[0.05925925925925926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
48,rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
49,rnbqkbnr/ppp1pppp/3p4/8/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 0 2,[],-1
50,rnbqkbnr/ppp1pppp/3p3B/8/8/3P4/PPP1PPPP/RN1QKBNR b KQkq - 1 2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
51,rn1qkbnr/ppp1pppp/3p3B/8/6b1/3P4/PPP1PPPP/RN1QKBNR w KQkq - 2 3,[],-1
52,rn1qkbnr/ppp1pppp/3p3B/8/3P2b1/8/PPP1PPPP/RN1QKBNR b KQkq - 0 3,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
53,rn1qkbnr/ppp1pppp/3p3B/7b/3P4/8/PPP1PPPP/RN1QKBNR w KQkq - 1 4,[],-1
54,rn1qkbnr/ppp1pppp/3p3B/7b/3P4/N7/PPP1PPPP/R2QKBNR b KQkq - 2 4,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
55,r2qkbnr/ppp1pppp/n2p3B/7b/3P4/N7/PPP1PPPP/R2QKBNR w KQkq - 3 5,[],-1
56,r2qkbnr/ppp1pppp/n2p3B/7b/3P4/NP6/P1P1PPPP/R2QKBNR b KQkq - 0 5,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
57,r2qkbnr/ppp1pp1p/n2p3B/6pb/3P4/NP6/P1P1PPPP/R2QKBNR w KQkq - 0 6,[],-1
58,r2qkbnr/ppp1pp1p/n2p3B/6pb/2NP4/1P6/P1P1PPPP/R2QKBNR b KQkq - 1 6,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
59,r2qkbnr/ppp1p2p/n2p3B/5ppb/2NP4/1P6/P1P1PPPP/R2QKBNR w KQkq - 0 7,[],-1
60,r2qkbnr/ppp1p2p/n2p3B/5ppb/2NP4/1P6/P1P1PPPP/R1Q1KBNR b KQkq - 1 7,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
61,r2q1bnr/pppkp2p/n2p3B/5ppb/2NP4/1P6/P1P1PPPP/R1Q1KBNR w KQ - 2 8,[],-1
62,r2q1bnr/pppkp2p/n2p3B/5ppb/2NP4/1PP5/P3PPPP/R1Q1KBNR b KQ - 0 8,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
63,r2qkbnr/ppp1p2p/n2p3B/5ppb/2NP4/1PP5/P3PPPP/R1Q1KBNR w KQ - 1 9,[],-1
64,r2qkbnr/ppp1p2p/n2p3B/5ppb/2NP4/1PP4N/P3PPPP/R1Q1KB1R b KQ - 2 9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
65,r2qkbnr/pp2p2p/n1pp3B/5ppb/2NP4/1PP4N/P3PPPP/R1Q1KB1R w KQ - 0 10,[],-1
66,r2qkbnr/pp2p2p/n1pp3B/4Nppb/3P4/1PP4N/P3PPPP/R1Q1KB1R b KQ - 1 10,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
67,r2qkbnr/pp2p2p/2pp3B/2n1Nppb/3P4/1PP4N/P3PPPP/R1Q1KB1R w KQ - 2 11,[],-1
68,r2qkbnr/pp2p2p/2pp3B/2n1Nppb/3P4/1PP4N/P3PPPP/RQ2KB1R b KQ - 3 11,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
69,r2qkbnr/pp5p/2ppp2B/2n1Nppb/3P4/1PP4N/P3PPPP/RQ2KB1R w KQ - 0 12,[],-1
70,r2qkbnr/pp5p/2ppp2B/2n2ppb/2NP4/1PP4N/P3PPPP/RQ2KB1R b KQ - 1 12,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
71,r2qkbnr/pp5p/2pp3B/2n1pppb/2NP4/1PP4N/P3PPPP/RQ2KB1R w KQ - 0 13,[],-1
72,r2qkbnr/pp5p/2pp3B/2n1Nppb/3P4/1PP4N/P3PPPP/RQ2KB1R b KQ - 0 13,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
73,r2qkbnr/pp5p/2pp3B/2n1Npp1/3P4/1PP2b1N/P3PPPP/RQ2KB1R w KQ - 1 14,[],-1
74,r2qkb1r/pp2nQ1p/2pp3B/2n1N1p1/3P4/1PP2b1N/P3PPPP/R3KB1R b KQ - 2 15,"[0.0033444816053511705, 0.033444816053511704, 0.030100334448160536, 0.033444816053511704, 0.033444816053511704, 0.033444816053511704, 0.023411371237458192, 0.023411371237458192, 0.030100334448160536, 0.030100334448160536, 0.033444816053511704, 0.023411371237458192, 0.043478260869565216, 0.033444816053511704, 0.020066889632107024, 0.030100334448160536, 0.023411371237458192, 0.026755852842809364, 0.023411371237458192, 0.023411371237458192, 0.04013377926421405, 0.023411371237458192, 0.026755852842809364, 0.030100334448160536, 0.023411371237458192, 0.033444816053511704, 0.023411371237458192, 0.023411371237458192, 0.033444816053511704, 0.030100334448160536, 0.03678929765886288, 0.020066889632107024, 0.030100334448160536, 0.023411371237458192, 0.023411371237458192, 0.026755852842809364]",-1
75,r2qkBnr/pp5p/2pp4/2n1Npp1/3P4/1PP2b1N/P3PPPP/RQ2KB1R b KQ - 0 14,[],-1
76,r2qkBr1/pp2nQ1p/2pp4/2n1N1p1/3P4/1PP2b1N/P3PPPP/R3KB1R b KQ - 2 16,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
77,r3kBnr/pp5p/2pp1q2/2n1Npp1/3P4/1PP2b1N/P3PPPP/RQ2KB1R w KQ - 1 15,[],-1
78,r3kBnr/pp5p/2pp1q2/2n1Npp1/3P4/1PP2b1N/PQ2PPPP/R3KB1R b KQ - 2 15,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1
79,r3kBnr/p6p/1ppp1q2/2n1Npp1/3P4/1PP2b1N/PQ2PPPP/R3KB1R w KQ - 0 16,[],-1
